Dataset Name,Algorithm Name,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Predict Probability,Predict Model,True Label,Training Time,Inference Time
Acorns,XGBoost meta learning,1,1,0,1, , ,0.98,Ensemble Genetic Programming,Ensemble Genetic Programming,51426 microseconds,7692 microseconds
Admission_Predict_kaggle,XGBoost meta learning,1,1,0,1, , ,0.9965,Ensemble Genetic Programming,Ensemble Genetic Programming,47041 microseconds,7594 microseconds
airfoil_self_noise_uci,XGBoost meta learning,1,1,0,1, , ,0.9907,Ensemble Genetic Programming,Ensemble Genetic Programming,50260 microseconds,7563 microseconds
analcatdata_apnea1,XGBoost meta learning,1,1,0,1, , ,0.9775,Ensemble Genetic Programming,Ensemble Genetic Programming,48956 microseconds,7430 microseconds
analcatdata_birthday,XGBoost meta learning,0,0,1,0, , ,0.9301,Ensemble Genetic Programming,Extra Tree Regressor,42618 microseconds,7140 microseconds
analcatdata_chlamydia,XGBoost meta learning,0,0,1,0, , ,0.9829,Ensemble Genetic Programming,Extra Tree Regressor,40899 microseconds,7239 microseconds
analcatdata_election2000,XGBoost meta learning,1,1,0,1, , ,0.5325,Ensemble Genetic Programming,Ensemble Genetic Programming,41799 microseconds,7215 microseconds
analcatdata_galapagos,XGBoost meta learning,0,0,1,0, , ,0.9786,Ensemble Genetic Programming,Extra Tree Regressor,81209 microseconds,8314 microseconds
analcatdata_gsssexsurvey,XGBoost meta learning,1,1,0,1, , ,0.9703,Ensemble Genetic Programming,Ensemble Genetic Programming,58240 microseconds,7411 microseconds
analcatdata_gviolence,XGBoost meta learning,0,0,1,0, , ,0.9925,Ensemble Genetic Programming,Extra Tree Regressor,42287 microseconds,7553 microseconds
analcatdata_michiganacc,XGBoost meta learning,1,1,0,1, , ,0.9182,Ensemble Genetic Programming,Ensemble Genetic Programming,49001 microseconds,7312 microseconds
analcatdata_ncaa,XGBoost meta learning,1,1,0,1, , ,0.9874,Ensemble Genetic Programming,Ensemble Genetic Programming,50637 microseconds,7613 microseconds
analcatdata_neavote,XGBoost meta learning,0,0,1,0, , ,0.296,Extra Tree Regressor,Ensemble Genetic Programming,44475 microseconds,7299 microseconds
analcatdata_negotiation,XGBoost meta learning,1,1,0,1, , ,0.988,Ensemble Genetic Programming,Ensemble Genetic Programming,43376 microseconds,7730 microseconds
analcatdata_olympic2000,XGBoost meta learning,1,1,0,1, , ,0.9052,Ensemble Genetic Programming,Ensemble Genetic Programming,44714 microseconds,7337 microseconds
analcatdata_runshoes,XGBoost meta learning,1,1,0,1, , ,0.9886,Ensemble Genetic Programming,Ensemble Genetic Programming,41839 microseconds,9165 microseconds
analcatdata_seropositive,XGBoost meta learning,1,1,0,1, , ,0.8714,Ensemble Genetic Programming,Ensemble Genetic Programming,40500 microseconds,7408 microseconds
analcatdata_vehicle,XGBoost meta learning,1,1,0,1, , ,0.9683,Ensemble Genetic Programming,Ensemble Genetic Programming,41560 microseconds,7077 microseconds
analcatdata_vineyard,XGBoost meta learning,1,1,0,1, , ,0.9706,Ensemble Genetic Programming,Ensemble Genetic Programming,40013 microseconds,7020 microseconds
analcatdata_wildcat,XGBoost meta learning,0,0,1,0, , ,0.9977,Ensemble Genetic Programming,Extra Tree Regressor,42330 microseconds,7881 microseconds
arsenic_female_bladder,XGBoost meta learning,1,1,0,1, , ,0.7107,Ensemble Genetic Programming,Ensemble Genetic Programming,51242 microseconds,7298 microseconds
auto_price,XGBoost meta learning,1,1,0,1, , ,0.957,Ensemble Genetic Programming,Ensemble Genetic Programming,42997 microseconds,7126 microseconds
auto93,XGBoost meta learning,1,1,0,1, , ,0.9099,Ensemble Genetic Programming,Ensemble Genetic Programming,40051 microseconds,7198 microseconds
autoHorse,XGBoost meta learning,1,1,0,1, , ,0.9698,Ensemble Genetic Programming,Ensemble Genetic Programming,41547 microseconds,7504 microseconds
Automobile,XGBoost meta learning,1,1,0,1, , ,0.9708,Ensemble Genetic Programming,Ensemble Genetic Programming,39852 microseconds,7051 microseconds
autoMpg,XGBoost meta learning,1,1,0,1, , ,0.9535,Ensemble Genetic Programming,Ensemble Genetic Programming,44476 microseconds,7660 microseconds
baseball_team,XGBoost meta learning,1,1,0,1, , ,0.9714,Ensemble Genetic Programming,Ensemble Genetic Programming,45877 microseconds,7103 microseconds
baskball,XGBoost meta learning,1,1,0,1, , ,0.9945,Ensemble Genetic Programming,Ensemble Genetic Programming,39996 microseconds,7148 microseconds
Bike_Sharing_in_Washington_kaggle,XGBoost meta learning,1,1,0,1, , ,0.7322,Ensemble Genetic Programming,Ensemble Genetic Programming,41789 microseconds,7401 microseconds
bolts,XGBoost meta learning,0,0,1,0, , ,0.9939,Ensemble Genetic Programming,Extra Tree Regressor,53726 microseconds,7515 microseconds
boston,XGBoost meta learning,1,1,0,1, , ,0.9517,Ensemble Genetic Programming,Ensemble Genetic Programming,46342 microseconds,8026 microseconds
breastTumor,XGBoost meta learning,1,1,0,1, , ,0.9902,Ensemble Genetic Programming,Ensemble Genetic Programming,44571 microseconds,7377 microseconds
cholesterol,XGBoost meta learning,1,1,0,1, , ,0.8958,Ensemble Genetic Programming,Ensemble Genetic Programming,45859 microseconds,7712 microseconds
chscase_census2,XGBoost meta learning,0,0,1,0, , ,0.2479,Extra Tree Regressor,Ensemble Genetic Programming,45917 microseconds,7132 microseconds
cocomo_numeric,XGBoost meta learning,1,1,0,1, , ,0.6183,Ensemble Genetic Programming,Ensemble Genetic Programming,47185 microseconds,7613 microseconds
Concrete_Data_Yeh_kaggle,XGBoost meta learning,1,1,0,1, , ,0.9849,Ensemble Genetic Programming,Ensemble Genetic Programming,40521 microseconds,7115 microseconds
cps_85_wages,XGBoost meta learning,1,1,0,1, , ,0.9878,Ensemble Genetic Programming,Ensemble Genetic Programming,39738 microseconds,7034 microseconds
cpu_with_vendor,XGBoost meta learning,1,1,0,1, , ,0.8356,Ensemble Genetic Programming,Ensemble Genetic Programming,40468 microseconds,8265 microseconds
Crash,XGBoost meta learning,1,1,0,1, , ,0.9693,Ensemble Genetic Programming,Ensemble Genetic Programming,45393 microseconds,8001 microseconds
detroit,XGBoost meta learning,1,1,0,1, , ,0.9912,Ensemble Genetic Programming,Ensemble Genetic Programming,42568 microseconds,7094 microseconds
diabetes_numeric,XGBoost meta learning,1,1,0,1, , ,0.9345,Ensemble Genetic Programming,Ensemble Genetic Programming,44052 microseconds,7171 microseconds
diggle_table_a1,XGBoost meta learning,1,1,0,1, , ,0.9871,Ensemble Genetic Programming,Ensemble Genetic Programming,39910 microseconds,8807 microseconds
disclosure_x_tampered,XGBoost meta learning,1,1,0,1, , ,0.9068,Ensemble Genetic Programming,Ensemble Genetic Programming,41387 microseconds,8196 microseconds
echoMonths,XGBoost meta learning,0,0,1,0, , ,0.9762,Ensemble Genetic Programming,Extra Tree Regressor,40560 microseconds,7171 microseconds
EgyptianSkulls,XGBoost meta learning,0,0,1,0, , ,0.3615,Extra Tree Regressor,Ensemble Genetic Programming,40946 microseconds,7229 microseconds
ERA,XGBoost meta learning,1,1,0,1, , ,0.9733,Ensemble Genetic Programming,Ensemble Genetic Programming,40096 microseconds,7200 microseconds
FacultySalaries,XGBoost meta learning,1,1,0,1, , ,0.9907,Ensemble Genetic Programming,Ensemble Genetic Programming,43968 microseconds,7592 microseconds
fishcatch,XGBoost meta learning,1,1,0,1, , ,0.9889,Ensemble Genetic Programming,Ensemble Genetic Programming,42957 microseconds,7026 microseconds
forest_fires,XGBoost meta learning,1,1,0,1, , ,0.995,Ensemble Genetic Programming,Ensemble Genetic Programming,41803 microseconds,7104 microseconds
fri_c2_100_25,XGBoost meta learning,1,1,0,1, , ,0.9852,Ensemble Genetic Programming,Ensemble Genetic Programming,40968 microseconds,7183 microseconds
fruitfly,XGBoost meta learning,0,0,1,0, , ,0.9969,Ensemble Genetic Programming,Extra Tree Regressor,42444 microseconds,7046 microseconds
gascons,XGBoost meta learning,0,0,1,0, , ,0.2477,Extra Tree Regressor,Ensemble Genetic Programming,42586 microseconds,7511 microseconds
happinessRank_2015,XGBoost meta learning,0,0,1,0, , ,0.8417,Ensemble Genetic Programming,Extra Tree Regressor,42418 microseconds,7063 microseconds
house_prices_kaggle,XGBoost meta learning,1,1,0,1, , ,0.9738,Ensemble Genetic Programming,Ensemble Genetic Programming,40201 microseconds,7202 microseconds
hutsof99_child_witness,XGBoost meta learning,1,1,0,1, , ,0.9925,Ensemble Genetic Programming,Ensemble Genetic Programming,40427 microseconds,7074 microseconds
hutsof99_logis,XGBoost meta learning,1,1,0,1, , ,0.9961,Ensemble Genetic Programming,Ensemble Genetic Programming,45427 microseconds,7805 microseconds
ICU,XGBoost meta learning,1,1,0,1, , ,0.9882,Ensemble Genetic Programming,Ensemble Genetic Programming,46427 microseconds,7273 microseconds
IMDB_Movie_Data_kaggle,XGBoost meta learning,1,1,0,1, , ,0.9381,Ensemble Genetic Programming,Ensemble Genetic Programming,50858 microseconds,7841 microseconds
iq_brain_size,XGBoost meta learning,1,1,0,1, , ,0.9955,Ensemble Genetic Programming,Ensemble Genetic Programming,43790 microseconds,7521 microseconds
kc1_numeric,XGBoost meta learning,1,1,0,1, , ,0.9906,Ensemble Genetic Programming,Ensemble Genetic Programming,50142 microseconds,8041 microseconds
kdd_coil_7,XGBoost meta learning,1,1,0,1, , ,0.7728,Ensemble Genetic Programming,Ensemble Genetic Programming,44872 microseconds,7518 microseconds
liver_disorders,XGBoost meta learning,1,1,0,1, , ,0.9495,Ensemble Genetic Programming,Ensemble Genetic Programming,43103 microseconds,7396 microseconds
longley,XGBoost meta learning,1,1,0,1, , ,0.8272,Ensemble Genetic Programming,Ensemble Genetic Programming,45162 microseconds,7349 microseconds
machine_cpu,XGBoost meta learning,1,1,0,1, , ,0.9762,Ensemble Genetic Programming,Ensemble Genetic Programming,45863 microseconds,7869 microseconds
mbagrade,XGBoost meta learning,0,0,1,0, , ,0.9592,Ensemble Genetic Programming,Extra Tree Regressor,49467 microseconds,7551 microseconds
MercuryinBass,XGBoost meta learning,1,1,0,1, , ,0.9181,Ensemble Genetic Programming,Ensemble Genetic Programming,43896 microseconds,7364 microseconds
mu284,XGBoost meta learning,0,0,1,0, , ,0.9072,Ensemble Genetic Programming,Extra Tree Regressor,44836 microseconds,7587 microseconds
nasa_numeric,XGBoost meta learning,0,0,1,0, , ,0.5529,Ensemble Genetic Programming,Extra Tree Regressor,45914 microseconds,7316 microseconds
nflpass,XGBoost meta learning,1,1,0,1, , ,0.8773,Ensemble Genetic Programming,Ensemble Genetic Programming,44326 microseconds,8666 microseconds
papir_2,XGBoost meta learning,1,1,0,1, , ,0.9912,Ensemble Genetic Programming,Ensemble Genetic Programming,42874 microseconds,7486 microseconds
pbc,XGBoost meta learning,1,1,0,1, , ,0.9375,Ensemble Genetic Programming,Ensemble Genetic Programming,46925 microseconds,7446 microseconds
pharynx,XGBoost meta learning,0,0,1,0, , ,0.9917,Ensemble Genetic Programming,Extra Tree Regressor,49819 microseconds,7907 microseconds
places,XGBoost meta learning,1,1,0,1, , ,0.9966,Ensemble Genetic Programming,Ensemble Genetic Programming,46900 microseconds,7384 microseconds
pollution,XGBoost meta learning,1,1,0,1, , ,0.9064,Ensemble Genetic Programming,Ensemble Genetic Programming,42768 microseconds,7547 microseconds
pubexpendat,XGBoost meta learning,1,1,0,1, , ,0.9441,Ensemble Genetic Programming,Ensemble Genetic Programming,43204 microseconds,7116 microseconds
pwLinear,XGBoost meta learning,1,1,0,1, , ,0.9364,Ensemble Genetic Programming,Ensemble Genetic Programming,50930 microseconds,7372 microseconds
pyrim,XGBoost meta learning,1,1,0,1, , ,0.9947,Ensemble Genetic Programming,Ensemble Genetic Programming,43585 microseconds,7167 microseconds
quake,XGBoost meta learning,0,0,1,0, , ,0.9711,Ensemble Genetic Programming,Extra Tree Regressor,39882 microseconds,7072 microseconds
rmftsa_ladata,XGBoost meta learning,1,1,0,1, , ,0.9955,Ensemble Genetic Programming,Ensemble Genetic Programming,39910 microseconds,7078 microseconds
sensory,XGBoost meta learning,1,1,0,1, , ,0.9859,Ensemble Genetic Programming,Ensemble Genetic Programming,40302 microseconds,7100 microseconds
servo,XGBoost meta learning,1,1,0,1, , ,0.8761,Ensemble Genetic Programming,Ensemble Genetic Programming,42534 microseconds,7055 microseconds
sleep,XGBoost meta learning,1,1,0,1, , ,0.9653,Ensemble Genetic Programming,Ensemble Genetic Programming,43796 microseconds,7266 microseconds
sleuth_case1102,XGBoost meta learning,1,1,0,1, , ,0.9972,Ensemble Genetic Programming,Ensemble Genetic Programming,40537 microseconds,7055 microseconds
sleuth_ex1221,XGBoost meta learning,1,1,0,1, , ,0.9434,Ensemble Genetic Programming,Ensemble Genetic Programming,40588 microseconds,7049 microseconds
sleuth_ex1605,XGBoost meta learning,1,1,0,1, , ,0.9787,Ensemble Genetic Programming,Ensemble Genetic Programming,42769 microseconds,7051 microseconds
sleuth_ex1714,XGBoost meta learning,1,1,0,1, , ,0.9836,Ensemble Genetic Programming,Ensemble Genetic Programming,45765 microseconds,7141 microseconds
SMSA,XGBoost meta learning,0,0,1,0, , ,0.9938,Ensemble Genetic Programming,Extra Tree Regressor,40004 microseconds,7207 microseconds
stock,XGBoost meta learning,1,1,0,1, , ,0.9902,Ensemble Genetic Programming,Ensemble Genetic Programming,41568 microseconds,7174 microseconds
strikes,XGBoost meta learning,0,0,1,0, , ,0.2677,Extra Tree Regressor,Ensemble Genetic Programming,41608 microseconds,7332 microseconds
student_performance,XGBoost meta learning,1,1,0,1, , ,0.6102,Ensemble Genetic Programming,Ensemble Genetic Programming,41920 microseconds,7095 microseconds
tecator,XGBoost meta learning,1,1,0,1, , ,0.9829,Ensemble Genetic Programming,Ensemble Genetic Programming,39978 microseconds,7191 microseconds
treepipit,XGBoost meta learning,1,1,0,1, , ,0.7383,Ensemble Genetic Programming,Ensemble Genetic Programming,40206 microseconds,7048 microseconds
triazines,XGBoost meta learning,1,1,0,1, , ,0.9838,Ensemble Genetic Programming,Ensemble Genetic Programming,43643 microseconds,7255 microseconds
vineyard,XGBoost meta learning,1,1,0,1, , ,0.9536,Ensemble Genetic Programming,Ensemble Genetic Programming,42638 microseconds,7315 microseconds
visualizing_environmental,XGBoost meta learning,1,1,0,1, , ,0.9522,Ensemble Genetic Programming,Ensemble Genetic Programming,40686 microseconds,7050 microseconds
visualizing_ethanol,XGBoost meta learning,1,1,0,1, , ,0.9835,Ensemble Genetic Programming,Ensemble Genetic Programming,40025 microseconds,7078 microseconds
visualizing_slope,XGBoost meta learning,1,1,0,1, , ,0.991,Ensemble Genetic Programming,Ensemble Genetic Programming,40286 microseconds,7419 microseconds
wisconsin,XGBoost meta learning,1,1,0,1, , ,0.9835,Ensemble Genetic Programming,Ensemble Genetic Programming,42859 microseconds,7082 microseconds
witmer_census_1980,XGBoost meta learning,1,1,0,1, , ,0.9869,Ensemble Genetic Programming,Ensemble Genetic Programming,42186 microseconds,7056 microseconds
yacht_hydrodynamics,XGBoost meta learning,1,1,0,1, , ,0.9552,Ensemble Genetic Programming,Ensemble Genetic Programming,40030 microseconds,7021 microseconds
