name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,Labels.Skew.StandardDeviation,Labels.Mean.Skew,Labels.Kurtosis.Skew,Labels.Skew.Mean,Labels.Skew.Skew,Features.MutualInformation.Skew,Features.Skew.NonAggregated,Features.Entropy.Skew,Features.Kurtosis.Skew,FeaturesLabels.SpearmanCorrelation.Skew,Features.Skew.StandardDeviation,FeaturesLabels.PearsonCorrelation.Skew,Features.Skew.Skew,Features.PearsonCorrelation.Skew,Features.Skew.Mean,Labels.Skew.NonAggregated,Features.Mean.Skew,Features.SpearmanCorrelation.Skew,Features.MutualInformation.StandardDeviation,Features.Mean.NonAggregated,Features.Kurtosis.NonAggregated,FeaturesLabels.SpearmanCorrelation.NonAggregated,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.MutualInformation.Mean,Features.Entropy.Mean,Features.Entropy.StandardDeviation,Features.MutualInformation.Mean,Features.Entropy.NonAggregated,Features.MutualInformation.NonAggregated,Labels.Entropy.NonAggregated,FeaturesLabels.MutualInformation.NonAggregated,Features.PearsonCorrelation.Mean,Features.PearsonCorrelation.StandardDeviation,FeaturesLabels.PearsonCorrelation.Mean,FeaturesLabels.PearsonCorrelation.StandardDeviation,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Features.SpearmanCorrelation.NonAggregated,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Labels.Kurtosis.NonAggregated,Features.Mean.Mean,Features.Mean.StandardDeviation,Labels.Mean.NonAggregated,Labels.Mean.StandardDeviation,Labels.Kurtosis.StandardDeviation,Labels.SpearmanCorrelation.NonAggregated,Labels.Mean.Mean,Labels.Kurtosis.Mean,instances,dimensionality,instances_with_missing_val,ratio_of_discrete_features,ratio_of_numeric_features,nonzero_vals_cnt,missing values,non-zero values,attributes total,attributes categorical,attributes numerical,label
Acorns,-0.027520064,0.933712799,0.973111007,-0.768207951,0.776166947,-0.45817155,0.857046959,0.463357034,-0.663955592,0.826001437,0.939161535,0.436567417,0.987763215,0.929039701,0.098426862,-0.128116062,0.046514911,0.449049602,0.655476818,0.03583169,0.605276802,0.565084805,-0.018961799,0.101713232,0.679465041,-0.034076514,-0.20942462,0.842189294,-0.695138053,0.886756246,-0.383391238,0.92271212,0.667808889,-0.470196222,0.652963624,0.984747621,0.412849679,0.934719457,0.769252531,-0.746035483,0.65037066,-0.487469497,0.773553062,0.318676678,-0.738644898,0.893173846,0.857746097,0.376653849,0.954583858,0.981562307,-0.599493386,0.370307822,-0.631013366,-0.281411284,0.731656975,-0.663821005,-0.69687588,-0.45032367,-0.762641899,-0.700877153,-0.042605107,0.795841848,0.859106706,-0.197035092,0.485200995,0.880476593,0.578853551,0.777418144,0.544021765,-0.421482571,0.143044866,0.616705783,-0.383803333,-0.351726741,0.362049564,-0.484797317,-0.508046759,0.634276897,-0.432715364,0.591421156,0.882339255,0.285915465,0.866100458,0.715318304,0.161880631,0.179216519,0.66153703,0.417378256,0.463029003,0.216467283,-0.654594931,-0.500046915,-0.033449053,-0.635485084,-0.772904262,0.669168348,0.412871148,0.804540552,0.912007505,0.441176471,0.922788254,0.786622263,0.402007693,0.308363432,0.90201229,,,,,,,,,,,1.040861756,,,,0.817576404,2.043314858,,,,,,,,,,,,3.459431619,,,,0.262523648,0.184540842,0.364937338,0.351432859,0.253623623,0.063259063,0.488612836,0.365927292,,1.221514742,2.558606991,4.823332616,2634.415385,3711.005948,3.341025641,,,,,,39,0.102564103,0,0,1,156,0,,4,0,4,1
Admission_Predict_kaggle,0.568193611,0.941249385,0.992854246,0.099878626,0.787352124,0.40287174,0.893484131,0.70285406,0.227795055,0.920879785,0.941958444,0.687142494,0.997754025,0.984512991,0.668104694,0.553803766,0.676776287,0.842604354,0.908504425,0.669129244,0.893544077,0.834845521,0.615404213,0.667365077,0.949673128,0.575678623,0.5493206,0.905658368,0.178011353,0.916796756,0.495737609,0.96909967,0.774850912,0.338223633,0.803719698,0.99854496,0.766157307,0.945062645,0.885902208,0.101430157,0.745386485,0.39133589,0.856470813,0.684060479,0.218735849,0.943777093,0.906399146,0.671233114,0.990109189,0.997817488,0.414416648,0.701002508,0.20307309,0.461621907,0.926732824,0.18164015,0.175824015,0.533591122,0.105548095,0.104400688,0.693318917,0.929361146,0.895222901,0.595818429,0.673156972,0.908565687,0.849033731,0.798524118,0.723392747,0.502257289,0.832700951,0.831864136,0.484571148,0.496286033,0.838370221,0.408836419,0.387815197,0.802551118,0.363578875,0.754626042,0.959223869,0.729957076,0.898908888,0.83719659,0.637564438,0.709161848,0.764542616,0.873781532,0.717260761,0.672529361,0.290274661,0.33292135,0.693767795,0.23798235,0.216294595,0.804985523,0.71945318,0.918719181,0.952597876,0.771933907,0.944124512,0.886891219,0.692787596,0.666137176,0.980943949,,,,,,,,,,,0.159203633,,,,-0.103135251,-0.352121286,,,,,,,,,,,,,,,,0.329916423,0.341776161,0.379847911,0.390685418,0.663755173,0.125750835,0.771040353,0.12237029,,-0.784560085,0.462097244,-0.399241431,55.50353438,104.5027152,0.72435,,,,,,400,0.02,0,0,1,3200,0,,8,0,8,1
airfoil_self_noise_uci,0.680032859,0.976822631,0.9917801,0.333614424,0.935699798,0.462367937,0.951382605,0.872032121,0.369940593,0.931020396,0.982254007,0.820972932,0.995819798,0.982214894,0.699097615,0.661335215,0.781987974,0.770084639,0.894612544,0.689417066,0.86148962,0.84427907,0.734047144,0.700565109,0.918507958,0.67768666,0.652649711,0.945025422,0.34562048,0.978665211,0.471300542,0.993125796,0.894222147,0.396990708,0.86847004,0.998935895,0.80474272,0.972267688,0.924912257,0.332666854,0.894194022,0.457555997,0.909992692,0.845067047,0.359577356,0.947467492,0.954088405,0.813370341,0.989428163,0.997625296,0.440778552,0.886301234,0.34003324,0.538238287,0.96109534,0.421314914,0.350011554,0.605538005,0.317381357,0.335207744,0.569495592,0.981056283,0.91505972,0.509311256,0.83786178,0.975042888,0.827019312,0.927672838,0.870583285,0.465301003,0.634288025,0.939753929,0.563745756,0.476242099,0.747470049,0.446918879,0.458440203,0.879200848,0.397642432,0.832335686,0.988004715,0.775455871,0.946145842,0.885830659,0.597734365,0.831689745,0.893520299,0.910195762,0.879458564,0.82528836,0.456090379,0.398318157,0.642978431,0.359714202,0.356808241,0.878252894,0.85228184,0.927706357,0.951140014,0.812248656,0.976623116,0.935722312,0.818665662,0.806231415,0.979390249,,,,,,,,,,,0.868559175,,,,0.799662748,-0.418533956,,,,,,,,,,,,,,,,0.047128055,0.348229537,0.002454499,0.334930075,-0.068977692,0.30974946,0.018632469,0.462735961,,0.759885826,2.501000919,-0.317132434,511.5012084,1062.983908,124.8359428,,,,,,1503,0.003992016,0,0,1,9018,0,,6,0,6,1
analcatdata_apnea1,0.72191843,0.98888192,0.994913424,0.291292474,0.974174969,0.55215055,0.971277784,0.845148414,0.35369246,0.942349118,0.99307579,0.817904418,0.998015375,0.989789357,0.720098715,0.717259775,0.652027525,0.740462577,0.916244716,0.705862424,0.798657959,0.768641699,0.781629954,0.721022588,0.965693149,0.727820684,0.710007686,0.971237869,0.320396906,0.993691086,0.548139617,0.993777047,0.876592836,0.37477455,0.903826767,0.99894397,0.807781768,0.984444086,0.961210005,0.281952607,0.952276481,0.551261295,0.947525171,0.823574228,0.344815035,0.95727259,0.978114539,0.815237642,0.995748153,0.998560465,0.349156491,0.778186495,0.336385097,0.518563548,0.936598652,0.341078916,0.313702669,0.533281231,0.289313949,0.280220359,0.567284459,0.992389067,0.900410288,0.405486266,0.884779109,0.990598789,0.819570326,0.969556428,0.939952234,0.538673708,0.632925144,0.903297401,0.631452301,0.550727818,0.834405516,0.55207207,0.550915233,0.8746236,0.380572581,0.871708188,0.989290719,0.788755276,0.964660919,0.935630177,0.562876212,0.777500131,0.868049636,0.826544313,0.851639796,0.805878473,0.421338181,0.370560496,0.634320175,0.351694571,0.34307195,0.913984991,0.853623271,0.946275486,0.961024624,0.810847516,0.988426863,0.969281077,0.824496553,0.807675676,0.990614165,,,,,,,,,,,2.442284058,,,,2.442284058,4.884568115,,,,,,,,,8.416294953,1.78E-15,,,0,,,,,0.44524298,0.446112755,,,0.481241651,0.518758349,-0.037516698,11.35860086,12.56526753,23.92386839,424.4536842,414.4536842,838.9073684,,,,,,475,0.008421053,0,0,1,1900,0,,4,0,4,1
analcatdata_birthday,0.629474398,0.886747477,0.98111177,0.282879157,0.703132979,0.353296062,0.7208091,0.754596747,0.427455898,0.834785866,0.890423872,0.79313059,0.988110191,0.960041464,0.640571748,0.584832306,0.80505769,0.77446195,0.898261436,0.575077795,0.872650249,0.940839127,0.872281507,0.6547299,0.916823881,0.637024551,0.555658465,0.789722602,0.256440705,0.893762661,0.418355885,0.93942178,0.811730024,0.479791159,0.729122139,0.996572799,0.690683397,0.884981803,0.735185584,0.274326615,0.580350947,0.301059197,0.59058871,0.694710853,0.373275407,0.826016633,0.795822168,0.783890366,0.97042012,0.994118616,0.471754893,0.846422966,0.222729653,0.564143698,0.885699109,0.67913253,0.28567161,0.638253377,0.285181082,0.26783766,0.668635774,0.927223559,0.800761491,0.709031219,0.73392683,0.900627696,0.668375223,0.69404224,0.520895096,0.429085051,0.659650843,0.928576909,0.716141006,0.433028387,0.713852399,0.357631454,0.273488753,0.718771126,0.466537546,0.603625607,0.934562474,0.531020948,0.710164263,0.526268809,0.735851319,0.802958056,0.816507937,0.886714886,0.780379074,0.655536864,0.761894019,0.500252624,0.765547637,0.43511468,0.344090858,0.744423855,0.887320677,0.841012153,0.808937773,0.698972431,0.883868319,0.743881894,0.798376449,0.766837571,0.944615583,,,,,,,,,,,0.200412555,,,,-0.058398829,-0.330081892,,,,,,,,,,,,8.098742713,,,,0.259116536,0.286169806,0.291266453,0.355112316,0.129463875,0.138900494,0.457809178,0.399654464,,-1.029147424,0.236917456,-0.694120008,3051.395556,4299.752654,9132.161644,,,,,,365,0.010958904,30,0,1,1430,30,,4,0,4,0
analcatdata_chlamydia,0.706904592,0.921880637,0.945400245,0.428993695,0.791303388,0.39928589,0.800192791,0.703640602,0.305014913,0.948089832,0.962152221,0.809165843,0.949664465,0.880433166,0.817947607,0.546291413,0.830939633,0.926476685,0.881999401,0.829790544,0.761571886,0.729752978,0.735641434,0.785246314,0.692971101,0.570575798,0.446614373,0.764167775,0.544676951,0.942483476,0.580293849,0.95821744,0.830767943,0.437875531,0.823818083,0.981962285,0.656821126,0.788019837,0.665015592,0.265520456,0.592224495,0.205655456,0.591472042,0.535684941,0.183871346,0.938227947,0.840298803,0.841438416,0.987417653,0.977835157,0.713266837,0.872250882,0.591256482,0.420069281,0.633775376,0.495915497,0.500097566,0.49265295,0.299364208,0.154698418,0.787957342,0.970176123,0.82283428,0.611573887,0.727942804,0.887773468,0.578679113,0.629019107,0.481788159,0.681647253,0.593601977,0.694556428,0.445803312,0.507048613,0.410654052,0.243590565,0.110990067,0.847718244,0.492905767,0.689918307,0.894999899,0.495856503,0.631821161,0.487054088,0.519655773,0.596415355,0.79241679,0.505581779,0.549045092,0.473108166,0.331058609,0.39146176,0.422616239,0.203988722,0.115229562,0.880508732,0.88260908,0.932545232,0.891211151,0.736592997,0.848053265,0.750646606,0.829179775,0.801874701,0.950344282,,,,,,,4.061735314,,,,,,,,,4.061735314,,,1.86E-16,3659.03,17.15849002,1,,,6.030482255,0.277106517,5.29E-16,,,,,,,,,,,,,,,,17.15849002,,,3659.03,,,,,,100,0.04,0,0,1,400,0,,4,0,4,0
analcatdata_election2000,0.259823999,0.906207451,0.964579865,0.067438463,0.735196947,0.209039297,0.677593386,0.450900633,-0.168316434,0.646727081,0.902075753,0.471511829,0.9779907,0.917086965,0.433733675,0.152592536,0.752376956,0.756605581,0.733790971,0.500828379,0.698885462,0.781561141,0.677755616,0.437445113,0.820194365,0.188857386,0.101423268,0.781346369,0.187181398,0.882892009,0.316157305,0.80745624,0.590024787,0.101341226,0.55275543,0.998109864,0.566424823,0.870977291,0.693299739,-0.013231125,0.60530562,0.146222002,0.550472486,0.335011202,-0.314088248,0.668085845,0.778478904,0.402237732,0.957488451,0.982912685,0.472978907,0.481828341,0.183187531,0.440011139,0.697089732,0.475274175,0.185957276,0.518966801,0.020389267,-0.041348109,0.569977576,0.828856786,0.701962581,0.452911588,0.711442834,0.884127136,0.717981026,0.668238441,0.53170187,0.417543596,0.605963978,0.58418933,0.512944621,0.315070981,0.478285777,0.177648789,0.122611072,0.740109044,0.259115508,0.460500188,0.802334061,0.491126088,0.604373441,0.473034443,0.428661533,0.435471923,0.58687252,0.700679121,0.384839499,0.272437347,0.256647895,0.09867611,0.415614292,-0.219507074,-0.37907798,0.55212897,0.69536582,0.616261313,0.675199481,0.571944026,0.864042918,0.691215913,0.421069714,0.354965877,0.905864613,,,,,,,,,,,2.095642964,,,,3.764220082,2.924889142,,,,,,,,,,,,,,,,0.34604529,0.368922074,0.385530085,0.409453347,0.888904014,0.082887322,0.932453899,0.060892178,,19.2569861,20.19236389,8.833217893,22381.87264,29481.48659,43341.20896,,,,,,67,0.223880597,0,0,1,1005,0,,15,0,15,1
analcatdata_galapagos,-0.47440651,0.878653175,0.958981255,-0.763116839,0.540101635,-0.365610211,0.765371092,0.210149419,-0.712237515,-0.041308445,0.876906084,0.128696884,0.959611386,0.898165641,-0.139896898,-0.620442535,0.499445267,0.342554477,0.672563702,-0.071349445,0.615874232,0.872893017,0.048253619,-0.128999808,0.642706101,-0.368665726,-0.675684442,0.728788117,-0.75974233,0.82825182,-0.22909716,0.911396062,0.518582369,-0.443356545,-0.264311182,0.991521281,0.306341097,0.944473302,0.616192822,-0.666532299,0.30790963,-0.406707916,0.611974797,0.011907165,-0.776836221,0.064561695,0.73007881,-0.017050042,0.87117937,0.977607603,-0.512401704,0.405654175,-0.719653999,-0.140782585,0.782012518,0.289545319,-0.754435484,-0.035491027,-0.784756532,-0.593145161,0.053216243,0.747273157,0.739459365,-0.007160145,-0.233135022,0.812058899,0.598225091,0.679641024,0.168179072,-0.066694259,0.439147832,0.483187329,-0.111874102,-0.187986081,0.607493202,-0.389136092,-0.451085828,0.661639005,-0.420018002,-0.473600347,0.930887651,0.355742981,0.789164963,0.483891294,0.297458146,-0.278971268,0.547801577,0.675408527,0.269692398,-0.116579275,0.17142281,-0.445452721,0.254739814,-0.607945954,-0.76285543,-0.283899588,0.06836745,-0.090139141,0.181268274,0.333736647,0.924891627,0.61733871,0.153978018,-0.130671509,0.793426761,,,,,,,,,,,1.366757638,,,,2.525004184,1.796075266,,,,,,,,,,,,,,,,0.318865458,0.374100933,0.382265686,0.434844368,0.318782267,0.381854275,0.523009637,0.445392805,,7.483496371,8.728868224,2.217895745,159.1881429,141.7043174,85.23333333,,,,,,30,0.233333333,6,0,1,204,6,,7,0,7,0
analcatdata_gsssexsurvey,-0.947975398,0.867925037,0.98990127,-0.949385257,-0.759778105,-0.923293087,0.85595431,-0.847208697,-0.948140615,-0.496632726,0.818822921,-0.878196164,0.975514326,0.975020221,-0.751718349,-0.959904546,0.962041801,0.85543435,0.956493524,-0.754607168,0.932451259,0.994322731,0.482965628,-0.692219629,0.954383349,-0.900017506,-0.95679899,0.802927482,-0.870247358,-0.413595543,-0.789748548,0.945792249,-0.542141177,-0.751839012,-0.627097477,0.987512369,-0.63868492,0.945308294,0.757134664,-0.931179913,-0.806443249,-0.921506541,0.804509587,-0.889712006,-0.959540722,-0.439072303,0.744058702,-0.901654906,0.945224182,0.995398726,0.73777826,0.935708735,-0.845775954,0.842710118,0.965029679,0.576679226,-0.819426459,0.883138305,-0.953292824,-0.910933499,0.759461647,-0.457339239,0.927376429,0.852715495,0.307679912,-0.341065103,0.862430747,-0.639223131,-0.825163557,-0.820448702,0.845307016,0.943042244,0.541829302,-0.731528813,0.918647159,-0.896827379,-0.913414514,-0.561201171,-0.747039965,-0.609717778,0.918586859,-0.663825717,0.911728148,0.766949565,0.932837608,0.337791782,-0.466053309,0.913910991,-0.752606988,-0.90575731,0.465297859,-0.692235123,0.937445615,-0.900119829,-0.956129017,-0.587678975,0.56563508,-0.580058538,-0.393948183,-0.56502568,0.902909009,0.693313293,-0.812987264,-0.907605495,0.917915498,,,,,,,,,,,2.437220736,,,,1.270285843,2.649962396,,,,,,,,,,,,,,,,0.122596264,0.277450604,0.158940719,0.316974593,-0.012893012,0.167224875,0.09484827,0.331856157,,6.688065414,7.970679089,7.550967376,2461.452411,7364.710667,0.339622642,,,,,,159,0.062893082,6,0,1,1584,6,,10,0,10,1
analcatdata_gviolence,-0.866606647,0.944594075,0.988690454,-0.892393205,-0.063255044,-0.813663049,0.911016783,-0.503996188,-0.901312078,-0.091995041,0.944069039,-0.675769675,0.988070989,0.969624072,-0.766573721,-0.884334968,0.889227158,0.333454256,0.942505353,-0.746695879,0.678374803,0.965893006,0.200426788,-0.759305494,0.900340711,-0.84197199,-0.8832839,0.901236939,-0.873850356,0.208460182,-0.765948972,0.979627838,-0.269916351,-0.809188486,-0.23321502,0.99542645,-0.614022235,0.968881366,0.862772155,-0.864257771,-0.152712478,-0.821895983,0.869952414,-0.576843468,-0.911950893,-0.059741091,0.897477844,-0.703315931,0.969941818,0.993314082,0.032065098,0.820961662,-0.840601771,0.51359637,0.940522086,0.148718241,-0.875640151,0.701106749,-0.886494253,-0.83767213,0.230057401,0.222532827,0.684017355,0.252846911,-0.016658487,0.206041553,0.3468736,0.030442483,-0.20705156,-0.774552413,0.566309365,0.890669455,0.295269934,-0.752990882,0.890037982,-0.808711609,-0.816578232,-0.215953224,-0.778507259,-0.292506313,0.964385551,-0.626748893,0.941254296,0.830392137,0.658754828,-0.13682436,-0.271364862,0.56880499,-0.43221213,-0.626588806,0.139234654,-0.805667383,0.79663428,-0.880279386,-0.906240665,-0.199413907,0.420194606,-0.148870491,-0.017554342,-0.595550371,0.96255939,0.859057157,-0.661555094,-0.71322086,0.944208939,,,,,,,,,,,0.951273401,,,,1.032741892,0.257119399,,,,,,,,,,,,,,,,0.25404154,0.279228297,0.226390373,0.253289223,0.383323513,0.278277074,0.373536398,0.241481218,,2.018848317,2.627525739,-0.378199835,823.5285285,1553.39635,570.4054054,,,,,,74,0.121621622,0,0,1,666,0,,9,0,9,0
