Region,Range,Tree_Height,Acorn_size
'Atlantic',24196,27,1.4
'Atlantic',7900,21,3.4
'Atlantic',23038,25,9.1
'Atlantic',17042,3,1.6
'Atlantic',7646,24,10.5
'Atlantic',19938,17,2.5
'Atlantic',7985,15,0.9
'Atlantic',8897,0.3,6.8
'Atlantic',8982,24,1.8
'Atlantic',233,11,0.3
'Atlantic',1598,15,0.9
'Atlantic',1745,23,0.8
'Atlantic',17042,24,2
'Atlantic',4082,3,1.1
'Atlantic',3775,13,0.6
'Atlantic',13688,30,1.8
'Atlantic',3978,9,4.8
'Atlantic',5328,27,1.1
'Atlantic',18480,9,3.6
'Atlantic',10161,24,1.1
'Atlantic',8643,23,1.1
'Atlantic',9920,27,3.6
'Atlantic',28389,24,8.1
'Atlantic',21067,23,3.6
'Atlantic',14870,18,1.8
'Atlantic',2540,9,0.4
'Atlantic',829,9,1.1
'Atlantic',8992,4,1.2
'California',559,18,4.1
'California',433,6,1.6
'California',259,17,2
'California',1061,20,5.5
'California',870,30,5.9
'California',803,23,2.6
'California',826,26,6
'California',699,21,1
'California',690,15,17.1
'California',223,1,0.4
'California',13,18,7.1
