CIC.institutions,average.salary,full.prof.salary,assoc.prof.salary,asst.prof.salary
0,64.47,83,57.5,46.1
0,59.2,78.9,49.7,42.5
0,58.77,75.4,51.4,43.8
0,55.94,70.2,50.8,41.5
0,75.54,93.3,70,56.4
0,63.01,79.3,55,49.4
0,57.65,70.96,52.35,44.86
0,54.91,71.6,47.8,39.5
0,54.01,70.3,45.7,40.8
0,58.94,75.5,51.7,43.9
0,51.33,63.5,46,40.3
1,55.86,69.5,50.4,42.8
0,71.09,91.2,64.4,50
0,53.69,64.9,49.6,42.4
0,72.33,90.5,64.1,56.2
1,59.05,73.1,54,44.8
0,66.53,92.7,54.9,43
0,53.95,67.1,49.7,40
1,54.71,70.2,47.9,40.7
1,67.16,86.9,57.3,50.9
0,64.69,90.2,52.3,43.2
1,53.55,65.5,48.4,42.6
1,54.48,68.8,49.1,40.3
0,66.8,79.8,53.7,44.8
1,53.94,67.1,48.4,41.7
1,53.45,66.5,47.6,41.8
0,56.22,71.4,50.8,40.8
0,70.11,96.5,55.7,50
1,64.63,82.6,57.3,47.6
0,47.11,56.7,42.7,38.7
1,51.96,65.7,46.9,38.2
0,58.82,76.8,51.4,41.9
0,57.75,72.9,50.9,44.3
0,56.33,72.4,49.4,41.6
0,68.76,87,61.6,51.1
0,58.07,73,53.7,41.6
1,54.63,68.8,48.7,41
0,53.33,67.1,48.3,39.5
0,50.78,63,46.1,38.8
1,50.97,62.4,47.3,38.8
0,61.67,77.9,55.2,46.1
0,45.76,55.9,41.8,35.9
0,59.16,76.9,51.5,42.9
0,53.15,66.7,46.9,41.3
0,45.75,56.1,42,35.3
0,59.3,75,50.5,43
0,52.06,65.3,46.3,40
0,48.85,61,44,37.2
0,66.31,85.1,56.8,51
0,63.22,83.4,55.8,43
