Month,Day,Day_of_week,Births
1,1,Sunday,7701
1,2,Monday,7527
1,3,Tuesday,8825
1,4,Wednesday,8859
1,5,Thursday,9043
1,6,Friday,9208
1,7,Saturday,8084
1,8,Sunday,7611
1,9,Monday,9172
1,10,Tuesday,9089
1,11,Wednesday,9210
1,12,Thursday,9259
1,13,Friday,9138
1,14,Saturday,8299
1,15,Sunday,7771
1,16,Monday,9458
1,17,Tuesday,9339
1,18,Wednesday,9120
1,19,Thursday,9226
1,20,Friday,9305
1,21,Saturday,7954
1,22,Sunday,7560
1,23,Monday,9252
1,24,Tuesday,9416
1,25,Wednesday,9090
1,26,Thursday,9387
1,27,Friday,8983
1,28,Saturday,7946
1,29,Sunday,7527
1,30,Monday,9184
1,31,Tuesday,9152
2,1,Wednesday,9159
2,2,Thursday,9218
2,3,Friday,9167
2,4,Saturday,8065
2,5,Sunday,7804
2,6,Monday,9225
2,7,Tuesday,9328
2,8,Wednesday,9139
2,9,Thursday,9247
2,10,Friday,9527
2,11,Saturday,8144
2,12,Sunday,7950
2,13,Monday,8966
2,14,Tuesday,9859
2,15,Wednesday,9285
2,16,Thursday,9103
2,17,Friday,9238
2,18,Saturday,8167
2,19,Sunday,7695
2,20,Monday,9021
2,21,Tuesday,9252
2,22,Wednesday,9335
2,23,Thursday,9268
2,24,Friday,9552
2,25,Saturday,8313
2,26,Sunday,7881
2,27,Monday,9262
2,28,Tuesday,9705
3,1,Wednesday,9132
3,2,Thursday,9304
3,3,Friday,9431
3,4,Saturday,8008
3,5,Sunday,7791
3,6,Monday,9294
3,7,Tuesday,9573
3,8,Wednesday,9212
3,9,Thursday,9218
3,10,Friday,9583
3,11,Saturday,8144
3,12,Sunday,7870
3,13,Monday,9022
3,14,Tuesday,9525
3,15,Wednesday,9284
3,16,Thursday,9327
3,17,Friday,9480
3,18,Saturday,7965
3,19,Sunday,7729
3,20,Monday,9135
3,21,Tuesday,9663
3,22,Wednesday,9307
3,23,Thursday,9159
3,24,Friday,9157
3,25,Saturday,7874
3,26,Sunday,7589
3,27,Monday,9100
3,28,Tuesday,9293
3,29,Wednesday,9195
3,30,Thursday,8902
3,31,Friday,9318
4,1,Saturday,8069
4,2,Sunday,7691
4,3,Monday,9114
4,4,Tuesday,9439
4,5,Wednesday,8852
4,6,Thursday,8969
4,7,Friday,9077
4,8,Saturday,7890
4,9,Sunday,7445
4,10,Monday,8870
4,11,Tuesday,9023
4,12,Wednesday,8606
4,13,Thursday,8724
4,14,Friday,9012
4,15,Saturday,7527
4,16,Sunday,7193
4,17,Monday,8702
4,18,Tuesday,9205
4,19,Wednesday,8720
4,20,Thursday,8582
4,21,Friday,8892
4,22,Saturday,7787
4,23,Sunday,7304
4,24,Monday,9017
4,25,Tuesday,9077
4,26,Wednesday,9019
4,27,Thursday,8839
4,28,Friday,9047
4,29,Saturday,7750
4,30,Sunday,7135
5,1,Monday,8900
5,2,Tuesday,9422
5,3,Wednesday,9051
5,4,Thursday,8672
5,5,Friday,9101
5,6,Saturday,7718
5,7,Sunday,7388
5,8,Monday,8987
5,9,Tuesday,9307
5,10,Wednesday,9273
5,11,Thursday,8903
5,12,Friday,8975
5,13,Saturday,7762
5,14,Sunday,7382
5,15,Monday,9195
5,16,Tuesday,9200
5,17,Wednesday,8913
5,18,Thursday,9044
5,19,Friday,9000
5,20,Saturday,8064
5,21,Sunday,7570
5,22,Monday,9089
