Native.species,Area(km^2),Elevation(m),Distance.nearest.island(km),Distance.Santa.Cruz(km),Area.adj.island(km^2),Observed.species
23,25.09,?,0.6,0.6,1.84,58
21,1.24,109,0.6,26.3,572.33,31
3,0.21,114,2.8,58.7,0.78,3
9,0.1,46,1.9,47.4,0.18,25
1,0.05,?,1.9,1.9,903.82,2
11,0.34,119,8,8,1.84,18
?,0.08,93,6,12,0.34,24
7,2.33,168,34.1,290.2,2.85,10
4,0.03,?,0.4,0.4,17.95,8
2,0.18,112,2.6,50.2,0.1,2
26,58.27,198,1.1,88.3,0.57,97
35,634.49,1494,4.3,95.3,4669.32,93
17,0.57,49,1.1,93.1,58.27,58
4,0.78,227,4.6,62.2,0.21,5
19,17.35,76,47.4,92.2,129.49,40
89,4669.32,1707,0.7,28.1,634.49,347
23,129.49,343,29.1,85.9,59.56,51
2,0.01,25,3.3,45.9,0.1,2
37,59.56,777,29.1,119.6,129.49,104
33,17.95,458,10.7,10.7,0.03,108
9,0.23,?,0.5,0.6,25.09,12
30,4.89,367,4.4,24.4,572.33,70
65,551.62,716,45.2,66.6,0.57,280
81,572.33,906,0.2,19.8,4.89,237
95,903.82,864,0.6,0,0.52,444
28,24.08,259,16.5,16.5,0.52,62
73,170.92,640,2.6,49.2,0.1,285
16,1.84,?,0.6,9.6,25.09,44
8,1.24,186,6.8,50.9,17.95,16
12,2.85,253,34.1,254.7,2.33,21
