EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,AGE,RACE,OCCUPATION,SECTOR,MARR,WAGE
8,no,female,21,not_member,35,Hispanic,Other,Manufacturing,Married,5.1
9,no,female,42,not_member,57,White,Other,Manufacturing,Married,4.95
12,no,male,1,not_member,19,White,Other,Manufacturing,Unmarried,6.67
12,no,male,4,not_member,22,White,Other,Other,Unmarried,4
12,no,male,17,not_member,35,White,Other,Other,Married,7.5
13,no,male,9,member,28,White,Other,Other,Unmarried,13.07
10,yes,male,27,not_member,43,White,Other,Other,Unmarried,4.45
12,no,male,9,not_member,27,White,Other,Other,Unmarried,19.47
16,no,male,11,not_member,33,White,Other,Manufacturing,Married,13.28
12,no,male,9,not_member,27,White,Other,Other,Unmarried,8.75
12,no,male,17,member,35,White,Other,Other,Married,11.35
12,no,male,19,member,37,White,Other,Manufacturing,Unmarried,11.5
8,yes,male,27,not_member,41,White,Other,Other,Married,6.5
9,yes,male,30,member,45,White,Other,Other,Unmarried,6.25
9,yes,male,29,not_member,44,White,Other,Other,Married,19.98
12,no,male,37,not_member,55,White,Other,Construction,Married,7.3
7,yes,male,44,not_member,57,White,Other,Other,Married,8
12,no,male,26,member,44,White,Other,Manufacturing,Married,22.2
11,no,male,16,not_member,33,White,Other,Other,Unmarried,3.65
12,no,male,33,not_member,51,White,Other,Other,Married,20.55
12,no,female,16,member,34,White,Other,Manufacturing,Married,5.71
7,no,male,42,member,55,Other,Other,Manufacturing,Married,7
12,no,male,9,not_member,27,White,Other,Other,Unmarried,3.75
11,yes,male,14,not_member,31,Other,Other,Other,Married,4.5
12,no,male,23,not_member,41,White,Other,Other,Married,9.56
6,yes,male,45,not_member,57,White,Other,Manufacturing,Married,5.75
12,no,male,8,not_member,26,White,Other,Manufacturing,Married,9.36
10,no,male,30,not_member,46,White,Other,Other,Married,6.5
12,no,female,8,not_member,26,White,Other,Manufacturing,Married,3.35
12,no,male,8,not_member,26,White,Other,Other,Married,4.75
14,no,male,13,not_member,33,White,Other,Other,Unmarried,8.9
12,yes,female,46,not_member,64,White,Other,Other,Unmarried,4
8,no,male,19,not_member,33,White,Other,Other,Married,4.7
17,yes,female,1,not_member,24,White,Other,Other,Unmarried,5
12,no,male,19,not_member,37,White,Other,Manufacturing,Unmarried,9.25
12,no,male,36,not_member,54,Other,Other,Other,Unmarried,10.67
12,yes,male,20,not_member,38,Other,Other,Construction,Married,7.61
12,no,male,35,member,53,Other,Other,Construction,Married,10
12,no,male,3,not_member,21,White,Other,Other,Unmarried,7.5
14,yes,male,10,not_member,30,White,Other,Manufacturing,Married,12.2
12,no,male,0,not_member,18,White,Other,Other,Unmarried,3.35
14,yes,male,14,member,34,White,Other,Manufacturing,Married,11
12,no,male,14,not_member,32,White,Other,Manufacturing,Married,12
9,no,female,16,not_member,31,White,Other,Manufacturing,Married,4.85
13,yes,male,8,not_member,27,White,Other,Construction,Unmarried,4.3
7,yes,female,15,not_member,28,White,Other,Manufacturing,Married,6
16,no,male,12,not_member,34,White,Other,Manufacturing,Married,15
10,yes,male,13,not_member,29,White,Other,Other,Unmarried,4.85
8,no,male,33,member,47,White,Other,Other,Married,9
12,no,male,9,not_member,27,White,Other,Manufacturing,Married,6.36
12,no,male,7,not_member,25,White,Other,Other,Married,9.15
16,no,male,13,member,35,White,Other,Manufacturing,Married,11
12,no,female,7,not_member,25,White,Other,Manufacturing,Married,4.5
12,no,female,16,not_member,34,White,Other,Manufacturing,Married,4.8
13,no,male,0,not_member,19,White,Other,Other,Unmarried,4
12,no,female,11,not_member,29,White,Other,Manufacturing,Unmarried,5.5
13,no,male,17,not_member,36,White,Other,Manufacturing,Unmarried,8.4
10,no,male,13,not_member,29,White,Other,Manufacturing,Married,6.75
12,no,male,22,member,40,Other,Other,Manufacturing,Unmarried,10
12,no,female,28,not_member,46,White,Other,Manufacturing,Married,5
11,no,male,17,not_member,34,White,Other,Other,Unmarried,6.5
12,no,male,24,member,42,White,Other,Construction,Married,10.75
3,yes,male,55,not_member,64,Hispanic,Other,Manufacturing,Married,7
12,yes,male,3,not_member,21,White,Other,Construction,Unmarried,11.43
12,no,male,6,member,24,Other,Other,Manufacturing,Unmarried,4
10,no,male,27,not_member,43,White,Other,Construction,Married,9
12,yes,male,19,member,37,Other,Other,Manufacturing,Married,13
12,no,male,19,member,37,White,Other,Construction,Married,12.22
12,no,female,38,not_member,56,White,Other,Manufacturing,Married,6.28
10,yes,male,41,member,57,Other,Other,Manufacturing,Married,6.75
11,yes,male,3,not_member,20,Other,Other,Manufacturing,Unmarried,3.35
14,no,male,20,member,40,White,Other,Other,Married,16
10,no,male,15,not_member,31,White,Other,Other,Married,5.25
8,yes,male,8,not_member,22,Hispanic,Other,Manufacturing,Married,3.5
8,yes,female,39,not_member,53,White,Other,Manufacturing,Married,4.22
6,no,female,43,member,55,Hispanic,Other,Manufacturing,Married,3
11,yes,female,25,member,42,White,Other,Manufacturing,Married,4
12,no,male,11,member,29,White,Other,Other,Married,10
12,no,male,12,not_member,30,Other,Other,Other,Married,5
12,yes,male,35,member,53,White,Other,Manufacturing,Married,16
14,no,male,14,not_member,34,White,Other,Other,Unmarried,13.98
12,no,male,16,member,34,White,Other,Other,Married,13.26
10,no,female,44,member,60,White,Other,Manufacturing,Unmarried,6.1
16,yes,female,13,not_member,35,White,Other,Other,Unmarried,3.75
13,no,male,8,member,27,Other,Other,Manufacturing,Unmarried,9
12,no,male,13,not_member,31,White,Other,Manufacturing,Unmarried,9.45
11,no,male,18,member,35,White,Other,Other,Married,5.5
12,no,female,18,not_member,36,White,Other,Other,Married,8.93
12,yes,female,6,not_member,24,White,Other,Other,Unmarried,6.25
11,yes,male,37,member,54,White,Other,Manufacturing,Married,9.75
12,yes,male,2,not_member,20,White,Other,Manufacturing,Married,6.73
12,no,male,23,not_member,41,White,Other,Manufacturing,Married,7.78
12,no,male,1,not_member,19,White,Other,Other,Unmarried,2.85
12,yes,female,10,not_member,28,Other,Other,Manufacturing,Married,3.35
12,no,male,23,not_member,41,White,Other,Manufacturing,Married,19.98
12,no,male,8,member,26,Other,Other,Other,Married,8.5
15,no,female,9,not_member,30,White,Other,Manufacturing,Married,9.75
12,no,male,33,member,51,White,Other,Construction,Married,15
12,no,female,19,not_member,37,White,Other,Manufacturing,Married,8
13,no,male,14,not_member,33,White,Other,Other,Married,11.25
11,no,male,13,member,30,White,Other,Other,Married,14
10,no,male,12,not_member,28,White,Other,Construction,Married,10
12,no,male,8,not_member,26,White,Other,Other,Unmarried,6.5
12,no,male,23,not_member,41,White,Other,Manufacturing,Married,9.83
14,no,female,13,not_member,33,White,Other,Manufacturing,Unmarried,18.5
12,yes,male,9,not_member,27,White,Other,Other,Married,12.5
14,no,male,21,member,41,White,Other,Other,Married,26
5,yes,male,44,not_member,55,White,Other,Construction,Married,14
12,no,male,4,member,22,White,Other,Other,Married,10.5
8,no,male,42,not_member,56,White,Other,Manufacturing,Married,11
13,no,male,10,member,29,White,Other,Other,Married,12.47
12,no,male,11,not_member,29,White,Other,Construction,Unmarried,12.5
12,no,male,40,member,58,White,Other,Construction,Married,15
12,no,male,8,not_member,26,White,Other,Construction,Unmarried,6
11,yes,male,29,not_member,46,White,Other,Construction,Married,9.5
16,no,male,3,member,25,White,Other,Other,Unmarried,5
11,no,male,11,not_member,28,White,Other,Construction,Unmarried,3.75
12,no,male,12,member,30,White,Other,Other,Married,12.57
8,no,female,22,not_member,36,Hispanic,Other,Other,Married,6.88
12,no,male,12,not_member,30,White,Other,Other,Married,5.5
12,no,male,7,member,25,White,Other,Other,Married,7
