season,river_size,fluid_velocity,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8,algae_7
winter,small_,medium,8,9.8,60.8,6.238,578,105,170,50,0
spring,small_,medium,8.35,8,57.75,1.288,370,428.75,558.75,1.3,2.1
autumn,small_,medium,8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6,9.7
spring,small_,medium,8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4,1.4
autumn,small_,medium,8.06,9,55.35,10.416,233.7,58.222,97.58,10.5,1
winter,small_,high__,8.25,13.1,65.75,9.248,430,18.25,56.667,28.4,2.9
summer,small_,high__,8.15,10.3,73.25,1.535,110,61.25,111.75,3.2,0
autumn,small_,high__,8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9,0
winter,small_,medium,8.7,3.4,21.95,0.886,102.75,36.3,71,5.544,0
winter,small_,high__,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8,1.7
spring,small_,high__,7.7,10.2,8,1.527,21.571,12.75,20.75,0.8,6
summer,small_,high__,7.45,11.7,8.69,1.588,18.429,10.667,19,0.6,1.5
winter,small_,high__,7.74,9.6,5,1.223,27.286,12,17,41,2.1
summer,small_,high__,7.72,11.8,6.3,1.47,8,16,15,0.5,4.1
winter,small_,high__,7.9,9.6,3,1.448,46.2,13,61.6,0.3,0
autumn,small_,high__,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,0
winter,small_,high__,7.78,12,7,1.42,34.333,18.667,50,1.1,0
spring,small_,high__,7.61,9.8,7,1.443,31.333,20,57.833,0.4,7.2
summer,small_,high__,7.35,10.4,7,1.718,49,41.5,61.5,0.8,2.2
spring,small_,high__,7.2,9.2,0.8,0.642,81,15.6,18,0.5,0
autumn,small_,high__,7.75,10.3,32.92,2.942,42,16,40,7.6,0
winter,small_,high__,7.62,8.5,11.867,1.715,208.33299,3,27.5,1.7,0
spring,small_,high__,7.84,9.4,10.975,1.51,12.5,3,11.5,1.5,1.9
summer,small_,high__,7.77,10.7,12.536,3.976,58.5,9,44.136,3,0
winter,small_,high__,7.09,8.4,10.5,1.572,28,4,13.6,0.5,0
autumn,small_,high__,6.8,11.1,9,0.63,20,4,,2.7,2.1
winter,small_,high__,8,9.8,16,0.73,20,26,45,0.8,2.5
spring,small_,high__,7.2,11.3,9,0.23,120,12,19,0.5,0
autumn,small_,high__,7.4,12.5,13,3.33,60,72,142,4.9,0
winter,small_,high__,8.1,10.3,26,3.78,60,246,304,2.8,2.9
summer,small_,high__,7.8,11.3,20.083,3.02,49.5,53,130.75,5.8,1.2
winter,small_,high__,8.3,10.9,1.17,0.735,13.5,1.625,3,0.2,0
spring,small_,high__,8,,1.45,0.81,10,2.5,3,0.3,0
winter,small_,medium,8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,10.2
spring,small_,medium,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957,0
winter,small_,medium,8,5.5,77,6.096,122.85,143.71001,296,3.7,7.1
summer,small_,medium,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2,1.6
winter,small_,high__,8.3,7.7,50,8.543,76,264.89999,344.60001,22.5,0
spring,small_,high__,8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84,0
winter,small_,high__,8.4,13.4,69.75,4.555,37.5,10,40.667,3.9,0
spring,small_,high__,8.3,12.5,87,4.87,22.5,27,43.5,3.3,0
autumn,small_,high__,8,12.1,66.3,4.535,39,16,39,0.8,0
winter,small_,low___,,12.6,9,0.23,10,5,6,1.1,0
spring,small_,medium,7.6,9.6,15,3.02,40,27,121,2.8,0
autumn,small_,medium,7.29,11.21,17.75,3.07,35,13,20.812,12.1,3.2
winter,small_,medium,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,3.9
summer,small_,medium,8,7.9,27.233,1.651,28.333,7.3,22.9,4.5,3.2
winter,small_,high__,7.9,11,6.167,1.172,18.333,7.75,11.8,0.5,0
spring,small_,high__,7.9,9,5.273,0.91,33.636,9,11.818,0.8,0
