zip,fire,theft,age,race,vol,invol,income
26,6.2,29,60.4,10,5.3,0,11744
40,9.5,44,76.5,22.2,3.1,0.1,9323
13,10.5,36,73.5,19.6,4.8,1.2,9948
57,7.7,37,66.9,17.3,5.7,0.5,10656
14,8.6,53,81.4,24.5,5.9,0.7,9730
10,34.1,68,52.6,54,4,0.3,8231
11,11,75,42.6,4.9,17.9,0,21480
25,6.9,18,78.5,7.1,6.9,0,11104
18,7.3,31,90.1,5.3,7.6,0.4,10694
47,15.1,25,89.8,21.5,3.1,1.1,9631
22,29.1,34,82.7,43.1,1.3,1.9,7995
31,2.2,14,40.2,1.1,14.3,0,13722
46,5.7,11,27.9,1,12.1,0,16250
56,2,11,7.7,1.7,10.9,0,13686
30,2.5,22,63.8,1.6,10.7,0,12405
34,3,17,51.2,1.5,13.8,0,12198
41,5.4,27,85.1,1.8,8.9,0,11600
35,2.2,9,44.4,1,11.5,0,12765
39,7.2,29,84.2,2.5,8.5,0.2,11084
51,15.1,30,89.8,13.4,5.2,0.8,10510
44,16.5,40,72.7,59.8,2.7,0.8,9784
24,18.4,32,72.9,94.4,1.2,1.8,7342
12,36.2,41,63.1,86.2,0.8,1.8,6565
7,39.7,47,83,50.2,5.2,0.9,7459
23,18.5,22,78.3,74.2,1.8,1.9,8014
8,23.3,29,79,55.5,2.1,1.5,8177
16,12.2,46,48,62.3,3.4,0.6,8212
32,5.6,23,71.5,4.4,8,0.3,11230
9,21.8,4,73.1,46.2,2.6,1.3,8330
53,21.6,31,65,99.7,0.5,0.9,5583
15,9,39,75.4,73.5,2.7,0.4,8564
38,3.6,15,20.8,10.7,9.1,0,12102
29,5,32,61.8,1.5,11.6,0,11876
36,28.6,27,78.1,48.8,4,1.4,9742
21,17.4,32,68.6,98.9,1.7,2.2,7520
37,11.3,34,73.4,90.6,1.9,0.8,7388
52,3.4,17,2,1.4,12.9,0,13842
20,11.9,46,57,71.2,4.8,0.9,11040
19,10.5,42,55.9,94.1,6.6,0.9,10332
49,10.7,43,67.5,66.1,3.1,0.4,10908
17,10.8,34,58,36.4,7.8,0.9,11156
55,4.8,19,15.2,1,13,0,13323
43,10.4,25,40.8,42.5,10.2,0.5,12960
28,15.6,28,57.8,35.1,7.5,1,11260
27,7,3,11.4,47.4,7.7,0.2,10080
33,7.1,23,49.2,34,11.6,0.3,11428
45,4.9,27,46.6,3.1,10.9,0,13731
