Generation number,Stage,Forest hyper parameters,Dataset features,3 cross-fold validation negative Mean Squared Error
Before generation,Generate forests,"max_depth: 2, min_samples_split: 7, min_weight_fraction_leaf: 0.3, max_features: sqrt","[TOEFL Score, SOP, Research, CGPA]",-0.004985248771994846
Before generation,Generate forests,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.002538425876854226
Before generation,Generate forests,"max_depth: 5, min_samples_split: 4, min_weight_fraction_leaf: 0.35000000000000003, max_features: auto","[Research, University Rating]",-0.008236876058082087
Before generation,Generate forests,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.002672338473195143
Before generation,Generate forests,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.0071029953372803226
0,Select forests => tournament selection index 0,"max_depth: 5, min_samples_split: 4, min_weight_fraction_leaf: 0.35000000000000003, max_features: auto","[Research, University Rating]",-0.008183331892335523
0,Select forests => tournament selection index 0,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0025496490827939724
0,Select forests => tournament selection index 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.002626108332935061
0,Select forests => tournament selection index 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.006646507701826967
0,Select forests => tournament selection index 2,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0025134237802660374
0,Select forests => tournament selection index 2,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0024732990236550536
0,Select forests => tournament selection index 3,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.007014353276963358
0,Select forests => tournament selection index 3,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0025467505006883727
0,Select forests => tournament selection index 4,"max_depth: 5, min_samples_split: 4, min_weight_fraction_leaf: 0.35000000000000003, max_features: auto","[Research, University Rating]",-0.008258480596422934
0,Select forests => tournament selection index 4,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.00663770169337031
0,Select forests => best selected forests,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0024065027711937057
0,Select forests => best selected forests,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0025885113378221534
0,Select forests => best selected forests,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0023300161686129785
0,Select forests => best selected forests,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.002555921873653228
0,Select forests => best selected forests,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.007172751002333704
0,breeding index 0 parent 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.002652849849457681
0,breeding index 0 parent 2,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0026839977783960035
0,breeding index 0 offspring mutate feature: max_features,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, SOP, CGPA, LOR , TOEFL Score, GRE Score, University Rating]",-0.002533559699063216
0,breeding index 1 parent 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0027010723860365084
0,breeding index 1 parent 2,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0026465942451742103
0,breeding index 1 offspring mutate feature: min_samples_split,"max_depth: 3, min_samples_split: 3, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, SOP, CGPA, LOR , TOEFL Score, GRE Score, University Rating]",-0.0026638887811769084
0,breeding index 2 parent 1,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0025985119702471578
0,breeding index 2 parent 2,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.002484811122384801
0,breeding index 2 offspring,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[Research, SOP, CGPA, LOR , GRE Score, University Rating]",-0.0024505958902078673
0,breeding index 3 parent 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.00717662505743776
0,breeding index 3 parent 2,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0026203290173213373
0,breeding index 3 offspring mutate feature: max_depth,"max_depth: 4, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, SOP, CGPA, LOR , GRE Score, TOEFL Score, University Rating]",-0.00253795511382748
0,breeding index 4 parent 1,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.007072763246405069
0,breeding index 4 parent 2,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0027179950775432313
0,breeding index 4 offspring,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[Research, SOP, CGPA, LOR , GRE Score, TOEFL Score, University Rating]",-0.0055377837930057185
0,all forest before pruning,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.002684799944206254
0,all forest before pruning,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.002600810690886166
0,all forest before pruning,"max_depth: 9, min_samples_split: 8, min_weight_fraction_leaf: 0.1, max_features: sqrt","[SOP, LOR , University Rating, CGPA, Research, GRE Score]",-0.0024636079554364904
0,all forest before pruning,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, GRE Score, CGPA, SOP, TOEFL Score, LOR , University Rating]",-0.0026503570541168073
0,all forest before pruning,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.4, max_features: sqrt","[LOR , GRE Score, Research]",-0.007158700142608296
0,all forest before pruning,"max_depth: 3, min_samples_split: 2, min_weight_fraction_leaf: 0.1, max_features: auto","[Research, SOP, CGPA, LOR , TOEFL Score, GRE Score, University Rating]",-0.00259523703982218
