Dataset Name,Algorithm Name,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Predict Probability,Predict Model,True Label,Training Time,Inference Time
Acorns,XGBoost meta learning,,1.0,1,0,1, , ,0.9800,Ensemble Genetic Programming,Ensemble Genetic Programming,63773 microseconds,7480 microseconds
Admission_Predict_kaggle,XGBoost meta learning,,1.0,1,0,1, , ,0.9965,Ensemble Genetic Programming,Ensemble Genetic Programming,46861 microseconds,8808 microseconds
airfoil_self_noise_uci,XGBoost meta learning,,1.0,1,0,1, , ,0.9907,Ensemble Genetic Programming,Ensemble Genetic Programming,46301 microseconds,8587 microseconds
analcatdata_apnea1,XGBoost meta learning,,1.0,1,0,1, , ,0.9775,Ensemble Genetic Programming,Ensemble Genetic Programming,63975 microseconds,7471 microseconds
analcatdata_birthday,XGBoost meta learning,,0.0,0,1,0, , ,0.9301,Ensemble Genetic Programming,Extra Tree Regressor,52124 microseconds,7667 microseconds
analcatdata_chlamydia,XGBoost meta learning,,0.0,0,1,0, , ,0.9829,Ensemble Genetic Programming,Extra Tree Regressor,51890 microseconds,11903 microseconds
analcatdata_election2000,XGBoost meta learning,,1.0,1,0,1, , ,0.5325,Ensemble Genetic Programming,Ensemble Genetic Programming,56449 microseconds,7522 microseconds
analcatdata_galapagos,XGBoost meta learning,,0.0,0,1,0, , ,0.9786,Ensemble Genetic Programming,Extra Tree Regressor,117287 microseconds,7938 microseconds
analcatdata_gsssexsurvey,XGBoost meta learning,,1.0,1,0,1, , ,0.9703,Ensemble Genetic Programming,Ensemble Genetic Programming,105708 microseconds,7856 microseconds
analcatdata_gviolence,XGBoost meta learning,,0.0,0,1,0, , ,0.9925,Ensemble Genetic Programming,Extra Tree Regressor,49198 microseconds,8700 microseconds
analcatdata_michiganacc,XGBoost meta learning,,1.0,1,0,1, , ,0.9182,Ensemble Genetic Programming,Ensemble Genetic Programming,45076 microseconds,8661 microseconds
analcatdata_ncaa,XGBoost meta learning,,1.0,1,0,1, , ,0.9874,Ensemble Genetic Programming,Ensemble Genetic Programming,45587 microseconds,12626 microseconds
analcatdata_neavote,XGBoost meta learning,,0.0,0,1,0, , ,0.2960,Extra Tree Regressor,Ensemble Genetic Programming,135350 microseconds,11008 microseconds
analcatdata_negotiation,XGBoost meta learning,,1.0,1,0,1, , ,0.9880,Ensemble Genetic Programming,Ensemble Genetic Programming,59526 microseconds,10666 microseconds
